activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brics_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,district_id
41,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Train WES committees,3,5,1860,2,f,t,f,t,f,f,t,f,2604
41,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Train WES committees,3,5,1860,2,f,t,f,t,f,f,t,f,2604
41,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Train WES committees,3,5,1860,2,f,t,f,t,f,f,t,f,2604
41,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2606
41,GEDO,DOOLOW,GEEDWEINE,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2605
42,GEDO,DOOLOW,SUR-GUDUD,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2605
42,GEDO,DOOLOW,QANSAXLEY,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2605
42,GEDO,DOOLOW,KAPASA,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2605
37,BANADIR,BANADIR,HALANE,NRC,FLOOD,Provision of donkey and  cart pulls,30,30,30000,4,f,t,f,f,f,t,t,f,
40,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Self Help Groups,12,120,45000,4,f,t,f,f,f,t,t,f,2308
40,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Self Help Groups,6,60,24000,4,f,f,t,f,f,t,t,f,2308
40,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DROUGHT,Self Help Groups,6,60,24000,4,f,f,t,f,f,t,t,f,2308
40,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DROUGHT,Self Help Groups,6,60,24000,4,f,t,f,f,f,t,t,f,2308
41,BANADIR,BANADIR,SACID RORAYE,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,
40,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DROUGHT,Self Help Groups,6,60,24000,4,f,f,t,f,f,t,t,f,2308
40,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DROUGHT,Self Help Groups,9,90,34500,4,f,t,f,f,f,t,t,f,2308
40,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Self Help Groups,12,120,45000,4,f,t,f,f,f,t,t,f,2308
40,BANADIR,KARAAN,JABUUTI,IRC,CONFLICT,Women's savings and livelihoods groups,3,45,12201,4,f,f,f,f,t,t,t,t,2208
41,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Train WES committees,3,21,1860,2,f,t,f,t,f,f,t,f,2308
40,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HUNGER/LOW INCOME,Self Help Groups,9,90,34500,4,f,t,f,f,f,t,t,f,2205
40,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Self Help Groups,12,120,45000,4,f,t,f,f,f,t,t,f,2208
41,BANADIR,HAMARWEINE,HORSEED,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2201
41,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Train WES committees,2,14,1240,2,f,t,f,t,f,f,t,f,2308
41,BANADIR,HAMARWEINE,HILAAC,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2201
14,GEDO,CEEL WAAQ,DHAMASA,CWW,DROUGHT,Road rehabilation through cash for work (KM),20,80,20000,4,f,f,f,f,f,t,t,f,2604
14,GEDO,LUUQ,JAZEERA (ALL),NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,f,f,t,t,f,f,f,f,2606
14,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,f,f,t,t,f,f,f,f,2606
14,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,f,f,t,t,f,f,f,f,2801
42,GEDO,DOOLOW,GEEDWEINE,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,t,f,2605
42,GEDO,DOOLOW,SUR-GUDUD,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2605
41,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2801
41,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2801
41,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2801
42,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2801
42,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2801
42,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2801
41,BAY,BAYDHABA,HAWL WADAAG,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2401
41,BAY,BAYDHABA,BONKAI,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2401
41,BAY,BAYDHABA,BERDAALE,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2401
42,BAY,BAYDHABA,HAWL WADAAG,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2401
42,BAY,BAYDHABA,BONKAI,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,t,f,2401
42,BAY,BAYDHABA,BERDAALE,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2401
42,GEDO,LUUQ,LUUQ-GODEY,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2606
42,GEDO,LUUQ,JAZEERA (ALL),NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2606
42,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2606
8,HIRAAN,BELET WEYNE,BASLAWE,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,33,1500,4,f,t,f,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,BACADBUKE,SCI,FLOOD,Training women group during child feeding and IYCF practices,2,50,2500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,BACAD,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,50,2500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,MACRUF,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,110,1500,4,f,f,t,f,f,f,f,f,2001
41,BANADIR,BANADIR,OCTOBER,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,
14,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,f,f,t,t,f,f,f,f,2801
14,GEDO,DOOLOW,QANSAXLEY,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,100,100,21000,4,f,t,t,t,f,f,f,f,2605
14,GEDO,DOOLOW,GEEDWEINE,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,100,100,21000,4,f,f,t,t,f,f,f,f,2605
14,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,MARKET STAGNATION,Road rehabilation through cash for work (KM),13,52,13000,4,f,f,f,f,f,t,t,f,2302
8,HIRAAN,BELET WEYNE,JAWIL,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,45,1500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,ILKACADO,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,45,1500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,HARCADEY,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,40,2000,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,GURICADE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,125,2500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,FAAFGUMARE,SCI,DROUGHT,Training women group during child feeding and IYCF practices,1,35,1750,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,ELGAL,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,75,2500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,DUSMO,SCI,DROUGHT,Training women group during child feeding and IYCF practices,3,90,1500,4,f,f,t,f,f,f,f,f,2001
42,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2604
42,GEDO,LUUQ,LUUQ-GODEY,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2606
42,GEDO,LUUQ,JAZEERA (ALL),NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2606
42,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2606
42,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2302
42,BAY,BAYDHABA,HAWL WADAAG,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2401
42,BAY,BAYDHABA,BONKAI,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2401
43,GEDO,LUUQ,JAZEERA (ALL),NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2606
42,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2801
42,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2801
42,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2801
42,GEDO,DOOLOW,QANSAXLEY,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2605
42,GEDO,DOOLOW,KAPASA,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2605
42,GEDO,DOOLOW,GEEDWEINE,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2605
43,GEDO,DOOLOW,SUR-GUDUD,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2605
43,GEDO,DOOLOW,QANSAXLEY,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2605
41,BANADIR,BANADIR,AHMED GUREY,SCI,DISEASE OUTBREAK,Establish and train sanitation & hygeine groups,8,15,1000,2,f,t,t,t,t,t,t,t,
42,BANADIR,BANADIR,OCTOBER,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,
41,BANADIR,BANADIR,HALANE,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,
42,BANADIR,BANADIR,HALANE,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,
43,GEDO,DOOLOW,KAPASA,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2605
42,BAY,BAYDHABA,BERDAALE,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2401
43,BAY,BAYDHABA,HAWL WADAAG,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2401
8,HIRAAN,BELET WEYNE,BIYO QURUN,SCI,DROUGHT,Training women group during child feeding and IYCF practices,2,88,1500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,BELETWEYNE TOWN,SCI,FLOOD,Hygiene and sanitation massages during child feeding and promoting IYCF practices,4,100,4000,4,f,f,f,f,t,t,f,f,2001
14,HIRAAN,BELET WEYNE,BACAD,SCI,FLOOD,Rehabilitation of the two canals using cash for work,2,200,15000,4,f,f,t,f,f,f,f,f,2001
41,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,DISEASE OUTBREAK,Establish and train  sanitation & hygeine groups.,8,15,1493,2,f,t,t,t,t,t,t,t,2212
41,BANADIR,DEYNILE,KUR DAMAC,SCI,HAZARDS,Establish and train  sanitation & hygeine groups,1,15,1493,2,f,t,t,t,t,t,t,t,2216
42,BANADIR,HAMARWEINE,HORSEED,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2201
42,BANADIR,HAMARWEINE,HILAAC,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,2201
43,BANADIR,BANADIR,HALANE,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,
41,BANADIR,BANADIR,DAGAH TUR,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,
42,BANADIR,BANADIR,SACID RORAYE,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,
42,BANADIR,BANADIR,DAGAH TUR,NRC,HAZARDS,Support CBDMCs to prepare Community Based Disaster Mangement Plans,1,10,1500,1,f,t,f,f,f,f,f,f,
42,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2308
42,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2308
14,BAY,BAYDHABA,HAWL WADAAG,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,20,100,21000,4,f,t,t,t,f,f,f,f,2401
14,BAY,BAYDHABA,BONKAI,NRC,CONFLICT,Rehabilitation of communal roads through CFW,20,20,10000,4,f,t,t,t,f,f,f,f,2401
13,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Conditional cash tansfers,100 individuals,100,15000,4,f,t,t,t,f,f,f,f,1801
13,MUDUG,GAALKACYO,HOWL WADAAG,CESVI,DROUGHT,Conditional cash tansfers,150 individuals,150,22500,4,f,t,t,t,f,f,f,f,1801
13,MUDUG,GAALKACYO,GALINSOOR,CESVI,DROUGHT,Conditional cash tansfers,100 individuals,100,15000,4,f,t,t,t,f,f,f,f,1801
14,HIRAAN,BELET WEYNE,BACADBUKE,SCI,FLOOD,Cutting; burning of Ali garob trees and rehabilitating of four canals through CfW,1,105,8400,4,f,t,f,f,f,f,f,f,2001
14,HIRAAN,BELET WEYNE,BACAD,SCI,FLOOD,Construction of road  (3000 MT long) through CfW,1,200,29880,4,f,f,f,f,f,f,t,f,2001
14,HIRAAN,BELET WEYNE,QARSONE,SCI,FLOOD,Cash for work to three canals,1,60,7200,4,f,f,t,f,f,f,f,f,2001
14,HIRAAN,BELET WEYNE,ELGAL,SCI,DROUGHT,Cash for work for cutting Ali Garob trees for 6 km,1,250,18750,4,f,f,t,f,f,f,f,f,2001
15,HIRAAN,BELET WEYNE,MACRUF,SCI,DROUGHT,Provision of small grants to women-headed households,1,10,10000,4,f,f,f,f,f,f,t,t,2001
15,HIRAAN,BELET WEYNE,JAWIL,SCI,DROUGHT,Provision of small grants to women-headed households,1,20,20000,4,f,f,t,f,f,f,t,f,2001
42,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2604
42,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2604
42,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2604
42,BANADIR,BANADIR,SACID RORAYE,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,
42,BANADIR,BANADIR,DAGAH TUR,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,
43,BANADIR,BANADIR,SACID RORAYE,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,
42,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2604
43,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2606
43,MUDUG,HOBYO,LABAD,IRC,DROUGHT,Early Warning System Set up; recording and training,12,10,2207,1,f,f,f,f,t,t,t,t,1803
43,BAY,BAYDHABA,BONKAI,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2401
43,BAY,BAYDHABA,BERDAALE,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2401
43,GEDO,DOOLOW,GEEDWEINE,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2605
43,GEDO,DOOLOW,SUR-GUDUD,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2605
43,GEDO,DOOLOW,QANSAXLEY,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2605
43,GEDO,DOOLOW,KAPASA,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2605
43,GEDO,DOOLOW,GEEDWEINE,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2605
43,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DROUGHT,Set up rain gauges to monitor rainfall,1,1443,250,1,f,t,f,f,f,f,f,f,2302
43,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,FLOOD,Establish Early Warning System that leads to early action,1,701,653,1,f,t,f,t,f,t,t,f,2302
43,BAY,BAYDHABA,HAWL WADAAG,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2401
43,BAY,BAYDHABA,BONKAI,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2401
42,BANADIR,HAMARWEINE,HILAAC,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,2201
42,BANADIR,BANADIR,OCTOBER,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,
42,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,CONFLICT,Establish and train community disaster management committees (CDMC),5,16,1000,1,f,t,t,f,t,f,t,t,2212
43,BAY,BAYDHABA,BERDAALE,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2401
43,GEDO,BELET XAAWO,GAWIIDO,CWW,DROUGHT,Set up rain gauges to monitor rainfall,1,400,250,1,f,t,f,f,f,f,f,f,2603
42,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Establish and train community disaster management committees (CDMC),5,16,1000,1,f,t,t,f,t,f,t,t,2216
42,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HEAVY RAINS,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2205
42,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HEAVY RAINS,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2208
43,BANADIR,HAMARWEINE,HORSEED,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2201
42,BANADIR,BANADIR,AHMED GUREY,SCI,FLOOD,Establish and train community disaster management committees (CDMC),5,16,1493,1,f,t,t,f,t,f,t,t,
43,BANADIR,BANADIR,OCTOBER,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,
42,BANADIR,BANADIR,HALANE,NRC,HAZARDS,Formation of Community Based Disaster Management Committees (CBDMCs),1,10,500,1,f,t,f,f,f,f,f,f,
43,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Set up rain gauges to monitor rainfall,1,1500,250,1,f,t,f,f,f,f,f,f,2308
43,BANADIR,BANADIR,DAGAH TUR,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,
43,BANADIR,BANADIR,SACID RORAYE,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,
43,BANADIR,BANADIR,DAGAH TUR,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,
43,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,FLOOD,Establish Early Warning System that leads to early action,1,2300,653,1,f,t,f,t,f,t,t,f,2308
43,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,FLOOD,Establish Early Warning System that leads to early action,1,150,653,1,f,t,f,t,f,t,t,f,2308
43,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,FLOOD,Establish Early Warning System that leads to early action,1,225,653,1,f,t,f,t,f,t,t,f,2308
13,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Conditional cash tansfers,100 individuals,100,15000,4,f,t,t,t,f,f,f,f,1801
13,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Conditional cash tansfers,70 individuals,70,10500,4,f,t,t,t,f,f,f,f,1801
13,MUDUG,GAALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Conditional cash tansfers,100 individuals,100,15000,4,f,t,t,t,f,f,f,f,1801
14,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Road rehabilation through cash for work (KM),7.5,30,7500,4,f,f,f,f,f,t,t,f,2603
14,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Road rehabilation through cash for work (KM),7.5,30,7500,4,f,f,f,f,f,t,t,f,2603
14,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,f,t,t,f,f,f,t,f,2603
14,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,270,7000,4,f,f,f,f,t,f,f,f,2604
14,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,220,7000,4,f,f,f,f,t,f,f,f,2604
43,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2606
43,GEDO,LUUQ,LUUQ-GODEY,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2606
43,GEDO,LUUQ,JAZEERA (ALL),NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2606
43,BANADIR,HAMARWEINE,HORSEED,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2201
43,GEDO,BELET XAAWO,MALKARIYEY,CWW,DROUGHT,Establish Early Warning System that leads to early action,1,390,653,1,f,t,f,t,f,t,t,f,2603
43,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Establish Early Warning System that leads to early action,1,300,653,1,f,t,f,t,f,t,t,f,2603
43,GEDO,BELET XAAWO,GAWIIDO,CWW,DROUGHT,Establish Early Warning System that leads to early action,1,400,653,1,f,t,f,t,f,t,t,f,2603
43,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Establish Early Warning System that leads to early action,1,3250,653,1,f,t,f,t,f,t,t,f,2603
43,GEDO,CEEL WAAQ,DHAMASA,CWW,DROUGHT,Set up rain gauges to monitor rainfall,1,1200,250,1,f,t,f,f,f,f,f,f,2604
43,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DROUGHT,Establish Early Warning System that leads to early action,1,270,653,1,f,t,f,t,f,t,t,f,2604
43,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Establish Early Warning System that leads to early action,1,220,653,1,f,t,f,t,f,t,t,f,2604
43,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Establish Early Warning System that leads to early action,1,300,653,1,f,t,f,t,f,t,t,f,2604
