Name of Partner,Amendment,Sector/unit of LOA,LoA #,Activity,Detailed Info,Project Code,Duration-from,Duration-To,Territory,Region,District,No HH/beneficiaries,Total LOA amount,Original Amount,Amended amount,CFW/voucher amount,1st instalment $,1st instalment status,2nd instalment $,2nd instalment status,3rd instalment $,3rd instalment status,4th instalment $,4th instalment status,Total all instalments,CPF Output 1,CPF Output 2,CPF Output 3,CPF Output 4,Reports due midterm 1,Report Status  midterm 1,Reports due midterm 2,Report Status  midterm 2,Report final,Report final status,Final Fin,Final report finished status,Days worked on
,Primary,,129,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Terra Nuova,Amendment 1,Livestock/D,,,,,,21-Feb-13,Somaliland,somaliland,,,"27,720.00","26,400.00","1,320.00",,,,,,"6,600.00",17-Mar-14,,,"27,720.00",,,,,,,,,,,,,
,Primary,,132,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AGROSPHERE,"Amendment 1, 2",Agric,141,,,,,,South Central, Lower Shabeele,"Qoryooley, Kurtunwareey","Qoryooley  155 HH, Kurtunwareey 305 HH","95,080.00","77,850.00","24,100.00",,"21,294.00",29-Sep-12,"7,230.00",27-Nov-12,"47,540.00",2-Jan-13,"19,016.00",,"95,080.00",,,,,,,,,,,,,
JDO,Amendment 1,Agric,142,,"Jilib   5660 HH suspended,      Afmadow 1000 HH continue   no cost extension expected",,,"Jilib   5660 HH suspended,      Afmadow 1000 HH continue   no cost extension expected",South Central,Middle Juba,"Jilib, Afmadow","Jilib   5660 HH suspended,      Afmadow 1000 HH continue",,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,151,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AGROSPHERE (FSTP),Amendment 1,Agric,157,,,OSRO/SOM/126/EC,,,South Central,Lower Shabelle,Afgoye,,"30,030.00","24,230.00","5,800.00",,,,,,"4,640.00",11-Feb-13,"6,006.00",25-Apr-13,"30,030.00",,,,,,,,,,,,,
AYUUB (FSTP),Amendment 1,Agric,158,,,OSRO/SOM/126/EC,,,South Central,Lower Shabelle,Marka,,"30,030.00","24,230.00","4,600.00",,,,,,"4,640.00",,"6,006.00",USD 9446     7/6/2013,"30,030.00",,,,,,,,,,,,,
COOPI,Amendment 1,CFW IIa,159,,,OSRO/SOM/124/USA,,31-Aug-13,South Central,"Galgaduud, Bay, Middle Juba, Gedo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,160, ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,162,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,163,Vector control,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,164,Vector control,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,165,Vector control,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,166,Vector control,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,169,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,170,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,181,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,182,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,183,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,185,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
2013,Primary,2013,,,,2013,,,,2013,,,2013,,,2013,,,,2013,,,,2013,,,,,,,,2013,,,,,,
RAAS,Amendment 1,CFW IIa,1,CFW,no cost extension,OSRO/SOM/124/USA,,31-Aug-13,South Central,Gedo,Baardheere,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREDO (FSTP),Amendment 1,Agric,4,"inputs distribution, Training of Farmers organization, Support FFS, supervision of infrastructure, marketing",supervision of market store in Afgoye,,,21-Mar-14,South Central,Lower Shabelle,Afgoye,,"82,400.00","79,100.00","3,300.00",,,,,,"19,120.00",,,,"82,400.00",,,,,,,,,,,,,
AYUUB (FSTP),Amendment 1,Agric,5,"inputs distribution, Training of Farmers organization, Support FFS, supervision of infrastructure, marketing",supervision of market store in Marka,,,,South Central,Lower Shabelle,Marka,,"111,585.00","107,985.00","3,600.00",,,,,,"25,197.00",paid,,,"111,585.00",,,,,,,,,,,,,
AGROSPHERE (FSTP),Amendment 1,Agric,8,,no supervision of infrastructure,,,,South Central,Middle J & Lower Juba,"Jilib, Jamaame",,"69,380.00","108,055.00",,,,,"23,087.00",18-Oct-13,"13,876.00",,,,"69,380.00",,,,,,,,,,,,,
,Primary,,9,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Save the Children,Amendment 1,CFW IIa,10,,,,,31-Aug-13,South Central,Hiraan,Belet Weyne/Mataban,,,,,"1,161,750.00",,,,,,,,,,,,,,,,,,,,,,
Somali Aid,Amendment 1,Multi-Sec,26,,,,,,South Central,Gedo ,Dollow/Luug,950,XXX,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,30,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,32,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,33,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,34,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
ARDO,Amendment 1,Agric,,Inputs Distribution (GU 2013),No DAP,,,,South Central,Bakool,Xudur,,,,,,,,"16,950.00","wrong 2nd install, reduce in final payment","9,920.00",USD 2070 14//11/13,,,"41,750.00",,,,,,,,,,,,,
,Primary,,41,Inputs Distribution (GU 2013),,"OSRO/SOM/201/MUL, baby 6,7,13",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
HATI,Amendment 1,Agric,,Inputs Distribution (GU 2013),Urea for 170 Maize HHs,,,,South Central,Hiraan,Belet Weyne,,,,,,,,,,"8,947.00",19-May-14,,,"40,734.00",,,,,,,,,,,,,
AGROSPHERE,Amendment 1,Agric,44,Inputs Distribution (GU 2013),"no irrigation for Qoryoley, Kurtunwarey, but add DAP distribution in these districts ",,,,South Central,Lower & Middle Shabelle,"Baclad, Qoryoley, Kurtunwarey",,"114,605.00",,,,,,,,"22,189.00",,,,"114,605.00",,,,,,,,,,,,,
MNR,Primary,Livestock/Emergency,55,:       Score  :1-In place 0.5 •À_•À_•À_Partially 0 •À_•À_•À_Not in place,,,,,South Central,"Banadir, Gedo, Middle Juba, Lower Juba, Bay, Bakool, Galgaduud, Middle Shabelle, Hiran, Lower Shabelle and South Mudug ",All districts,"8,000,000 Vaccines 250,000 treatment ","44,780.00",,,,"13,434.00",paid,"22,390.00",26-Aug-13,"8,956.00",,,,"44,780.00",,,,,,,,,,,,,
,Primary,,62,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
MNR,Primary,Agric/Live,64,Re-establishment of community based disease reporting and animal production extension services  ,,,,,South Central,"Lower Juba, Lower Shebelle and Middle Shebelle•À_•À_•À_•À_•À_•À_",All districts,n/a,"35,580.00",,,,"10,674.00",11-Jun-13,"17,790.00",14-Nov-13,"7,116.00",25-Sep-14,,,"35,580.00",,,,,,,,,,,,,
,Primary,,67,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,69,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,70,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,71,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,73,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,74,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,78,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
WARDI,Amendment 1,CFW IIb,79,report cleared but the final payment is pending on investigation on DAP distribution ,CFW extension for 3 weeks,,,,South Central,Bakool,Tayeeglow,,"61,210.00","47,582.00","13,628.00",,,,,,"16,676.00",26-Dec-13,"18,363.00",13-Aug-14,"61,210.00",,,,,,,,,,,,,
SVO,Amendment 1,CFW IIb,80,,CFW extension for 3 weeks,,,,Puntland,Sool,Taleex,,"59,657.00","48,408.00","11,249.00",,,,,,"15,136.00",26-Dec-13,"17,897.00",22-May-14,"59,657.00",,,,,,,,,,,,,
APD,Amendment 1,CFW IIb,81,, ,,,,Puntland,Sanaag,Laasqoray/Badhan,,"62,657.00","48,329.00","14,328.00",,,,,,"17,279.00",paid,"18,797.00",22-May-14,"62,657.00",,,,,,,,,,,,,
Himilo Organization for Development (HOD),Amendment 1,CFW IIb,85,CFW,PDA  214 HHs,,,,South Central,Lower Juba and Galgadud,"kismayo ,Cabudwaq and Casdaado",,"47,378.00","44,363.00","3,015.00",,,,,,,,"11,888.00",22-May-14,"47,378.00",,,,,,,,,,,,,
Mercy Corps,Amendment 1,CFW IIb,86,CFW,,,,,South Central,Middle Shabelle,"Afgoye, wanlawye",,,,,,,,"16,740.00",,"16,740.00",4-Feb-14,"13,189.00",,"65,940.00",,,,,,,,,,,,,
SARD,Amendment 1,CFW IIb,87,CFW,CFW extension for 3 weeks,,,,South Central,Bay,"Buurhakaba, qansaxdhere",,"68,092.00",49864,"18,228.00",,"14,959.00",,"12,466.00",,"20,239.00",26-Dec-13,"20,428.00",,"68,092.00",,,,,,,,,,,,,
JCC,Amendment 1,CFW IIb,88,CFW,CFW extension for 3 weeks,,,,South Central,Bakool,"Ceel Barde, Rub dhuuure",,"61,522.00","44,124.00","17,398.00",,,,,,"18,797.00",26-Dec-13,"18,457.00",13-Aug-14,"61,522.00",,,,,,,,,,,,,
CEFA,Amendment 1,CFW IIb,89,CFW,"Baclad-CFWonly2weeks due to taxation by Local Authority, in Jowhar, conflict, only 2091  worked for 2 weeks, 271 hhs complet CFW.    NEW_1869 HHs for CFW 30 days",,,15-May-14,South Central,Middle Shabelle,"Jowhar, Balcad",,"114,118.00","103,030.00","11,088.00","726,244.00",,,,,"23,217.00",13-Mar-14,"34,235.00",,"114,118.00",,,,,,,,,,,,,
CEFA,Amendment 2,CFW IIb,89,CFW,"Baclad-CFWonly2weeks due to taxation by Local Authority, in Jowhar, conflict, only 2091  worked for 2 weeks, 271 hhs complet CFW.    NEW_1869 HHs for CFW 30 days",,,30-Jun-14,South Central,Middle Shabelle,"Jowhar, Balcad",,"124,618.00","114,118.00","10,500.00","726,244.00",,,,,"23,217.00",13-Mar-14,"44,735.00",cleared from M&E on 21st Nov 2014 amount 33025.51,"124,618.00",,,,,,,,,,,,,
BRADO,Amendment 1,CFW IIb,90,CFW,,OSRO/SOM/124/USA,,,South Central,Galgadud,Dhusamared,,"71,040.00","48,230.00","22,810.00",,,,,,"23,202.00",22-Jan-14,"21,312.00",20-Aug-14,"71,040.00",,,,,,,,,,,,,
JDO,Amendment 1,CFW IIb,91,,3 extra weeks CFW,,,,,,,,"53,404.00","41,793.00","11,611.00","290,023.00",,,,,"14,397.00",13-Mar-14,"16,021.00",8-Aug-14,"53,404.00",,,,,,,,,,,,,
SHARDO,Amendment 1,CFW IIb,,CFW,CFW extension for 3 weeks,,,,South Central,Middle Jubba,Buale,,"54,462.00","42,534.00","11,928.00",,,,,,"14,730.00",26-Dec-13,"16,339.00",9-Jun-14,"54,462.00",,,,,,,,,,,,,
Norwegian Church Aid (NCA),Amendment 1,CFW IIb,93,CFW,change district,OSRO/SOM/124/USA,,,Puntland,Puntland,"Dangorayo, Garowe, Eyl",,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Church Aid (NCA),Amendment 2,CFW IIb,93,CFW,change loaction & transport added ,,,15-Apr-14,Puntland,Puntland,"Dangorayo, Garowe, Eyl",,"64,026.00","39,036.00","24,990.00",,,,,,"23,347.00",13-Aug-14,"19,209.00",,"64,026.00",,,,,,,,,,,,,
NAPAD,Amendment 1,CFW IIb,94,CFW,add tools USD 15 per person,OSRO/SOM/124/USA,,,South Central,Gedo,"Luuq, Dollow, Belet Hawa","2,330","117,116.00",0,0,,,,"30,331.00",10-Oct-13,"30,332.00",22-Jan-14,"23,423.00",,"117,116.00",,,,,,,,,,,,,
NAPAD,Amendment 2,CFW IIb,94,CFW,vehicle rental & one more month runiing cost,,,15-Feb-14,South Central,Gedo,"Luuq, Dollow, Belet Hawa","2,330","144,886.00","117,116.00","27,770.00",,,,,,,,"51,193.00",19-Aug-14,"144,886.00",,,,,,,,,,,,,
VSF Germany,Amendment 1,CFW IIb,95,CFW,2 weeks extra & PDA exercise,,,31-Jan-14,Puntland,Mudug,Jariiban,,"69,577.00","64,575.00","5,002.00",,,,,,,,"17,917.00",,"49,146.00",,,,,,,,,,,,,
NEDSOM-Somalia,Amendment 1,Fisheries,102,,,,,,Puntland,Bari,Bossaso,,"6,697.00","4,250.00","2,447.00",,,,"5,422.00",23-Dec-13,,,,,"6,697.00",,,,,,,,,,,,,
Intersos,Amendment 2,Agric,106,,no cost extension,,,31-Mar-14,South Central,Bay,Baidoa,3245,,,,,,,,,,,,,,,,,,,,,,,,,,
ADA,Amendment 1,Agric,108,inputs distribution (Deyr 2013),"(580 hh Sorghum/Cowpea Seed Voucher,  2074 HH Maize/Cowpea  & IrrigationVoucher, Urea for 308HHs. DAP for all & Biometric, leaflet to all )",,,,South Central,,,2654,"92,556.00","88,366.00","4,190.00",,,,"45,440.00",,"20,607.00",,,,,,,,,,,,,,,,,
ADA,Amendment 2,Agric,108,inputs distribution (Deyr 2013),additional urea (vouher) to 1570 Riverine HHs. 176 HHs was left out due to not-replanting after flood.,,,,South Central,,,2654,"94,006.00","92,556.00","1,450.00",,,,"45,440.00",3-Feb-14,"22,057.00",20-May-14,,,"94,006.00",,,,,,,,,,,,,
SARD,Amendment 1,Agric,109,,"(Sorghum/Cowpea Seed Voucher 5000 HH , DAP 2979 HHs Direct, & Biometric, 5000  Sorghum/DAP leaflet, training of 310 lead farmers )",,,,South Central,,,,"52,570.00","47,660.00","4,910.00",,"14,298.00",,"25,303.00",,"12,969.00",,,,"52,570.00",,,,,,,,,,,,,
SARD,Amendment 2,Agric,109,,Additional Crop asessement and Bio metric,,,,South Central,,,,"60,570.00","52,570.00","8,000.00",,"14,298.00",,"23,830.00",,"22,442.00",,,,"60,570.00",,,,,,,,,,,,,
,Primary,,116,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
VSF Germany,Amendment 1,Livestock/Emergency,117,Training of CAHWs on Disease management,no cost extension,,,5-Jul-14,South Central,Gedo,Dollow,30,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,119,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,120,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
DFCS,Amendment 1,Agric,124,"Fodder production, marketing support through supervision of 2 produce stores",,,,,South Central,,,,"16,620.00","17,920.00","-1,300.00",,"4,986.00",,"8,310.00",,"3,324.00",,,,"16,620.00",,,,,,,,,,,,,
DFCS,Amendment 2,Agric,124,"Fodder production, marketing support through supervision of 2 produce stores",change 2nd installment requirement.,,,,South Central,,,,"16,620.00","17,920.00","-1,300.00",,"4,986.00",paid,"8,310.00",6-May-14,"3,324.00",,,,"16,620.00",,,,,,,,,,,,,
MNR,Primary,Agric,129,"Supervison of maize grading, labelling, packing ","10 Cooperatives, 100 HHs for WFP local purchase programme.",,,,South Central,Lower Shabelle,Afgoye and Awdhegle ,100,"20,550.00",,,,"6,165.00",paid,"10,275.00",13-Apr-14,"4,110.00",27-Aug-14,,,"20,550.00",,,,,,,,,,,,,
,Primary,,131,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
2014,Primary,2014,,2014,,2014,,,,2014,,,2014,,,2014,,,,2014,,,,2014,,,,,,,,2014,,,,,,
,Primary,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Amendment 1,Livestock/D,8,Livestock Value Chains and Capcity buliding support,no cost extension,SEED II,,30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,18,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
BRADO,Amendment 1,,20,Inputs distribution (Gu 2014),add PDA at no extra cost ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDO,Amendment 1,Agric,21,Inputs distribution (Gu 2014),add PDA at no extra cost ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,22,Inputs distribution (Gu 2014),,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,23,Inputs distribution (Gu 2014),,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
APD,Amendment 1,Agric,24,Inputs distribution (Gu 2014),add PDA at no extra cost ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,42,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,43,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,44,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,45,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,46,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Ammendement 1,,51,,no cost extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLAH,Amendment 1,Livestock/Emergency,55,Restocking (Supervision) ,no cost extension,,,30-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULPA,Amendment 1,Livestock/Emergency,56,Restocking  (reception & Quarantine  ),no cost extension,,,30-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisheries Education and Training Agency (FETA),Ammendment 1,Fisheries,61,Training Of Inland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOA, Fed GOV",Ammendment 1,,,no cost extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,73,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"Ministry of Planning &Development,Hargeisa",Primary,FSNAU,100,Three Focal Points within the ministry trained on basic skills and conceptual knowledge of the assessment and monitoring of food security and livelihoods. These Focal Points will be the catalysts for building capacity within their ministry using the training provided in this project to train others,,,,,,,,,"4,200",,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,102,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
IGAD Centre for Pastoral & Livestock Development (ICPALD),Ammendment,,LOA 11-14,,,,,,,,,,,"98,040.00","1st Ammendment -11984 ,2nd Ammendment 73933.82",,"29,412.00",paid,"61,004.00",paid,"56,750.26",14-Nov,"36,791.56",,"183,957.82",,,,,,,,,,,,,worked on 2 days by Chana & 1 day by Amin & Maureen
,Primary,,108,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,109,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Family Empowerment& Relief Organization(FERO),Primary,LIVESTOCK,110,Distribution of productive female goats ,,,,,South Central,Gedo,,6400 animals,"25,600",,,,"7,680.00",,"17,920.00",,,,,,"25,600.00",,,,,,,,,,,,,
